"";"1892-1896A";"1897-1901A";"1902-1906A";"1907-1911A";"1912-1916A";"1917-1921A";"1922-1926A";"1927-1931A";"1932-1936A";"1937-1941A";"1942-1946A";"1947-1951A";"1952-1956A";"1957-1961A";"1962-1966A";"1967-1971A";"1972-1976A";"1972-1976E";"1977-1981A";"1977-1981E";"1982-1987A";"1982-1987E";"1988-1992A";"1988-1992E";"1993-1998A";"1993-1998E";"1999-2003A";"1999-2003E";"2004-2009A";"2004-2009E";"2010-2014A";"2010-2014E"
"géographe";123;92;81;85;108;43;129;80;65;42;36;98;142;141;150;274;283;477;218;659;363;862;232;591;265;230;264;364;431;232;410;270
"caner";1;0;2;1;2;1;9;0;0;2;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;11;0;1;0;0;0
"affectionner";3;0;1;2;5;2;0;1;1;0;1;0;0;1;1;1;1;0;0;3;1;4;1;1;1;2;3;2;3;0;1;0
"obligeance";5;1;5;6;3;2;2;4;4;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"mi_juin";1;1;0;2;0;0;2;0;0;0;1;1;1;2;1;2;1;0;0;0;0;0;0;1;5;0;0;2;0;1;0;0
"pigment";1;2;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
"sexué";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;5;1
"étanche";1;2;2;3;4;6;2;4;2;2;4;1;4;3;3;6;1;1;2;3;5;0;4;2;0;4;3;3;8;2;5;2
"chaussure";1;6;2;0;3;7;17;11;22;6;3;3;2;2;6;5;18;4;39;3;15;6;13;4;3;13;19;21;7;1;19;0
"thrace";3;10;2;2;0;21;2;10;4;0;0;1;1;0;1;0;4;0;0;0;0;0;2;0;0;19;0;0;0;1;1;0
"controverse";6;4;6;7;5;3;4;4;5;3;0;2;9;5;7;3;5;6;4;14;13;14;12;8;13;6;9;1;18;20;22;16
"topographe";8;8;14;13;2;1;14;2;3;0;0;0;2;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"charentais";0;0;0;10;0;9;2;2;5;1;1;0;21;5;16;5;0;2;1;0;5;0;0;0;1;0;2;0;6;0;2;0
"inviolé";1;2;0;2;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;2;1;0;0;1;0;0;1
"dinosaure";0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;8;0;0;0;0;2;0;0;0;0;0;0;3;1;0;1;1
"gardon";1;1;0;0;0;0;0;0;1;1;0;0;8;0;3;1;0;12;11;0;3;0;6;0;0;0;2;0;0;0;0;0
"concurrence";36;30;38;15;53;46;92;143;165;59;17;58;60;79;86;67;120;54;73;88;105;76;133;50;105;138;127;79;168;114;119;70
"chlorhydrique";0;0;0;1;1;0;1;1;5;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fin";130;199;181;209;198;219;300;472;411;246;82;235;365;347;361;425;386;233;284;237;454;338;403;262;451;396;513;300;608;360;478;281
"fil";5;11;22;12;14;12;15;35;17;40;3;8;8;15;11;8;8;14;12;22;15;32;23;36;38;25;32;41;76;28;71;39
"hospitalier";7;7;0;2;3;4;2;1;5;3;1;1;0;5;6;9;5;6;2;2;5;1;17;2;7;2;3;2;9;4;23;3
"anglo_normand";0;0;3;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0
"espèce";184;269;174;133;234;169;160;121;167;85;62;69;97;97;121;86;103;58;90;72;150;94;103;74;166;104;113;55;552;115;97;90
"parasiter";0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;0;4;1;0;2
"instructif";7;23;20;15;15;10;19;12;10;6;1;3;7;8;1;9;11;8;4;5;4;9;8;1;4;5;2;4;10;2;3;1
"déferlante";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;5;0;3;0;1;2
"controversé";1;0;2;1;3;0;4;1;2;0;0;0;0;4;3;5;8;2;1;2;7;6;1;0;8;2;9;2;14;1;11;6
"casamance";1;21;0;0;8;10;0;1;2;0;0;14;0;7;2;11;0;0;3;3;0;2;0;5;2;10;2;1;1;3;0;0
"déchiffrement";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;0;0;0;1;0;1;0;5;1;0;2;0
"master";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;1;2;2;1;1;0;1;1;5;82;9;2
"rouille";1;0;0;2;2;1;3;1;2;0;1;0;0;0;3;4;2;0;1;0;1;2;6;0;1;2;4;1;2;0;0;0
"circonstanciel";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;2;1;2;2;2;1;0;2;3;1;4;1
"pompeux";1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;2;0;1;0
"teck";0;2;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;1;1;2;0;0;0;0;0;1;1;0;1;0;0;1
"instigateur";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;1;1;3;6;0;3;1;2;0
"affermissement";0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;4;0;2;0;0;0;1;0;1;0;2;2;0;0;1;0
"nordique";1;0;0;0;1;1;3;0;4;11;0;5;6;12;4;29;7;0;21;2;7;10;13;17;11;1;18;8;3;2;2;2
"usuraire";0;0;0;0;1;0;0;1;0;1;3;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
"patch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;1;0;0
"haïr";7;2;21;2;2;0;2;2;6;0;0;6;1;1;1;1;0;0;0;0;0;3;0;0;0;1;1;1;0;0;1;0
"ire";18;1;3;2;1;7;8;3;1;1;2;0;1;0;1;0;0;0;0;0;2;0;0;1;0;4;1;2;1;0;1;0
"cosmétologie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"discipline";3;4;8;4;12;11;9;12;8;20;4;17;48;17;21;54;79;77;56;221;97;283;95;232;62;119;44;82;206;62;129;96
"nature";220;291;228;247;178;157;209;183;204;131;63;128;171;173;145;277;268;351;235;374;236;450;381;277;320;576;367;267;1005;546;594;534
"sparte";1;2;1;0;0;0;1;1;1;0;0;1;0;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"escalade";1;5;4;6;3;2;9;2;6;1;2;0;3;2;3;0;1;1;2;1;1;3;0;1;1;6;1;1;5;1;9;1
"solaire";6;19;12;10;3;9;2;7;24;9;2;1;4;39;26;4;30;10;32;11;19;32;15;8;22;7;10;1;6;4;47;7
